date,model_version,player_id,player_name,team,opponent,pitcher,lineup_spot,model_prob_pct,market_prob_pct,ev_pct,edge_pct,american_odds,bet_dollars,park_factor,pitcher_factor,weather_factor,season_pa,recent_pa,confidence,score,streak_factor,barrel_pct,xslg,platoon_factor,statcast_source,confidence_tier,qualified,filter_reasons
2026-06-15,v4,656941,Kyle Schwarber,PHI,MIA,Ryan Gusto,1,24.36,0.00,0.00,0.00,,0.00,1.100,1.091,1.007,311,90,0.0,0.24,0.917,,0.528,1.063,current,C,0,EV -999.0% (need ≥ +3%)|Edge -999.0% (need ≥ +2%)|No market odds available
2026-06-15,v4,607208,Trea Turner,PHI,MIA,Ryan Gusto,2,9.33,0.00,0.00,0.00,,0.00,1.133,1.091,0.994,313,87,0.0,0.09,0.890,,0.344,1.235,current,C,0,EV -999.0% (need ≥ +3%)|Edge -999.0% (need ≥ +2%)|No market odds available
2026-06-15,v4,547180,Bryce Harper,PHI,MIA,Ryan Gusto,3,17.95,0.00,0.00,0.00,,0.00,1.090,1.091,0.994,299,82,0.0,0.18,0.943,,0.548,1.245,current,C,0,EV -999.0% (need ≥ +3%)|Edge -999.0% (need ≥ +2%)|No market odds available
2026-06-15,v4,669016,Brandon Marsh,PHI,MIA,Ryan Gusto,4,14.99,0.00,0.00,0.00,,0.00,1.089,1.091,0.994,258,78,0.0,0.15,1.059,,0.444,1.135,current,C,0,EV -999.0% (need ≥ +3%)|Edge -999.0% (need ≥ +2%)|No market odds available
2026-06-15,v4,681082,Bryson Stott,PHI,MIA,Ryan Gusto,5,8.67,0.00,0.00,0.00,,0.00,1.092,1.091,0.994,248,75,0.0,0.09,0.890,,0.402,1.022,current,C,0,EV -999.0% (need ≥ +3%)|Edge -999.0% (need ≥ +2%)|No market odds available
2026-06-15,v4,592663,J.T. Realmuto,PHI,MIA,Ryan Gusto,6,12.38,0.00,0.00,0.00,,0.00,1.134,1.091,0.980,181,73,0.0,0.12,1.071,,0.385,1.254,current,C,0,EV -999.0% (need ≥ +3%)|Edge -999.0% (need ≥ +2%)|No market odds available
2026-06-15,v4,687282,Gabriel Rincones Jr.,PHI,MIA,Ryan Gusto,7,10.92,0.00,0.00,0.00,,0.00,1.063,1.091,1.007,7,7,0.0,0.11,1.000,,0.014,1.060,blended,C,0,EV -999.0% (need ≥ +3%)|Edge -999.0% (need ≥ +2%)|No market odds available
2026-06-15,v4,702222,Justin Crawford,PHI,MIA,Ryan Gusto,8,3.44,0.00,0.00,0.00,,0.00,1.081,1.091,0.994,215,56,0.0,0.03,0.890,,0.293,1.140,current,C,0,EV -999.0% (need ≥ +3%)|Edge -999.0% (need ≥ +2%)|No market odds available
2026-06-15,v4,624641,Edmundo Sosa,PHI,MIA,Ryan Gusto,9,9.54,0.00,0.00,0.00,,0.00,1.113,1.091,0.980,117,61,0.0,0.10,1.059,,0.445,0.807,current,C,0,EV -999.0% (need ≥ +3%)|Edge -999.0% (need ≥ +2%)|Expected PA 3.2 (need ≥ 3.3)|No market odds available
2026-06-15,v4,689414,Liam Hicks,MIA,PHI,Zack Wheeler,1,14.22,0.00,0.00,0.00,,0.00,1.089,1.095,1.007,273,87,0.0,0.14,0.947,,0.373,1.093,current,C,0,EV -999.0% (need ≥ +3%)|Edge -999.0% (need ≥ +2%)|No market odds available
2026-06-15,v4,672640,Otto Lopez,MIA,PHI,Zack Wheeler,2,7.18,0.00,0.00,0.00,,0.00,1.122,1.095,0.994,306,89,0.0,0.07,0.890,,0.450,1.034,current,C,0,EV -999.0% (need ≥ +3%)|Edge -999.0% (need ≥ +2%)|No market odds available
2026-06-15,v4,669065,Kyle Stowers,MIA,PHI,Zack Wheeler,3,10.56,0.00,0.00,0.00,,0.00,1.091,1.095,1.007,210,87,0.0,0.11,0.998,,0.391,1.202,current,C,0,EV -999.0% (need ≥ +3%)|Edge -999.0% (need ≥ +2%)|No market odds available
2026-06-15,v4,669364,Xavier Edwards,MIA,PHI,Zack Wheeler,4,5.05,0.00,0.00,0.00,,0.00,1.105,1.095,0.994,309,85,0.0,0.05,0.890,,0.410,0.700,current,C,0,EV -999.0% (need ≥ +3%)|Edge -999.0% (need ≥ +2%)|No market odds available
2026-06-15,v4,681715,Heriberto Hernández,MIA,PHI,Zack Wheeler,5,15.33,0.00,0.00,0.00,,0.00,1.134,1.095,0.980,150,64,0.0,0.15,1.048,,0.482,0.911,current,C,0,EV -999.0% (need ≥ +3%)|Edge -999.0% (need ≥ +2%)|No market odds available
2026-06-15,v4,683357,Owen Caissie,MIA,PHI,Zack Wheeler,6,11.37,0.00,0.00,0.00,,0.00,1.093,1.095,0.994,193,61,0.0,0.11,1.003,,0.384,1.000,current,C,0,EV -999.0% (need ≥ +3%)|Edge -999.0% (need ≥ +2%)|No market odds available
2026-06-15,v4,805300,Jakob Marsee,MIA,PHI,Zack Wheeler,7,3.82,0.00,0.00,0.00,,0.00,1.088,1.095,0.994,292,73,0.0,0.04,0.890,,0.309,0.889,current,C,0,EV -999.0% (need ≥ +3%)|Edge -999.0% (need ≥ +2%)|No market odds available
2026-06-15,v4,691788,Joe Mack,MIA,PHI,Zack Wheeler,8,9.31,0.00,0.00,0.00,,0.00,1.084,1.095,1.007,107,69,0.0,0.09,1.076,,0.371,1.000,current,C,0,EV -999.0% (need ≥ +3%)|Edge -999.0% (need ≥ +2%)|No market odds available
2026-06-15,v4,691594,Javier Sanoja,MIA,PHI,Zack Wheeler,9,4.32,0.00,0.00,0.00,,0.00,1.115,1.095,0.980,169,62,0.0,0.04,1.072,,0.300,0.700,current,C,0,EV -999.0% (need ≥ +3%)|Edge -999.0% (need ≥ +2%)|Expected PA 3.2 (need ≥ 3.3)|No market odds available
2026-06-15,v4,694362,Blake Dunn,CIN,NYM,Tobias Myers,1,8.39,0.00,0.00,0.00,,0.00,1.175,1.118,0.980,120,94,0.0,0.08,1.019,,0.311,1.248,current,C,0,EV -999.0% (need ≥ +3%)|Edge -999.0% (need ≥ +2%)|No market odds available
2026-06-15,v4,668709,JJ Bleday,CIN,NYM,Tobias Myers,2,21.47,0.00,0.00,0.00,,0.00,1.179,1.118,0.986,187,90,0.0,0.21,0.970,,0.512,1.101,current,C,0,EV -999.0% (need ≥ +3%)|Edge -999.0% (need ≥ +2%)|No market odds available
2026-06-15,v4,701398,Sal Stewart,CIN,NYM,Tobias Myers,3,12.02,0.00,0.00,0.00,,0.00,1.192,1.118,0.980,308,85,0.0,0.12,0.955,,0.477,0.840,current,C,0,EV -999.0% (need ≥ +3%)|Edge -999.0% (need ≥ +2%)|No market odds available
2026-06-15,v4,668715,Spencer Steer,CIN,NYM,Tobias Myers,4,11.91,0.00,0.00,0.00,,0.00,1.201,1.118,0.974,270,76,0.0,0.12,0.979,,0.485,0.737,current,C,0,EV -999.0% (need ≥ +3%)|Edge -999.0% (need ≥ +2%)|No market odds available
2026-06-15,v4,553993,Eugenio Suárez,CIN,NYM,Tobias Myers,5,12.50,0.00,0.00,0.00,,0.00,1.184,1.118,0.974,177,77,0.0,0.12,1.050,,0.338,0.839,current,C,0,EV -999.0% (need ≥ +3%)|Edge -999.0% (need ≥ +2%)|No market odds available
2026-06-15,v4,682622,Noelvi Marte,CIN,NYM,Tobias Myers,6,12.99,0.00,0.00,0.00,,0.00,1.165,1.118,0.974,62,60,0.0,0.13,1.052,,0.404,1.000,blended,C,0,EV -999.0% (need ≥ +3%)|Edge -999.0% (need ≥ +2%)|No market odds available
2026-06-15,v4,680574,Matt McLain,CIN,NYM,Tobias Myers,7,11.38,0.00,0.00,0.00,,0.00,1.209,1.118,0.980,267,72,0.0,0.11,1.067,,0.415,0.846,current,C,0,EV -999.0% (need ≥ +3%)|Edge -999.0% (need ≥ +2%)|No market odds available
2026-06-15,v4,663886,Tyler Stephenson,CIN,NYM,Tobias Myers,8,11.40,0.00,0.00,0.00,,0.00,1.209,1.118,0.980,200,71,0.0,0.11,1.018,,0.410,1.211,current,C,0,EV -999.0% (need ≥ +3%)|Edge -999.0% (need ≥ +2%)|No market odds available
2026-06-15,v4,695490,Edwin Arroyo,CIN,NYM,Tobias Myers,9,6.52,0.00,0.00,0.00,,0.00,1.169,1.118,0.980,35,35,0.0,0.07,1.000,,0.273,1.030,blended,C,0,EV -999.0% (need ≥ +3%)|Edge -999.0% (need ≥ +2%)|Expected PA 3.2 (need ≥ 3.3)|No market odds available
2026-06-15,v4,701807,Carson Benge,NYM,CIN,Chase Burns,1,12.06,13.74,-18.59,-1.68,575,0.00,1.167,1.031,0.980,272,87,57.4,0.12,0.994,,0.457,0.901,current,C,0,EV -18.6% (need ≥ +3%)|Edge -1.7% (need ≥ +2%)
2026-06-15,v4,666182,Bo Bichette,NYM,CIN,Chase Burns,2,9.91,12.07,-20.72,-2.16,700,0.00,1.190,1.031,0.980,313,84,64.2,0.10,1.071,,0.431,0.728,current,C,0,EV -20.7% (need ≥ +3%)|Edge -2.2% (need ≥ +2%)
2026-06-15,v4,665742,Juan Soto,NYM,CIN,Chase Burns,3,25.25,21.93,13.62,3.32,350,9.73,1.188,1.031,0.980,234,82,77.3,0.25,0.978,,0.624,1.081,current,B,1,
