date,source_tab,source_section,player_name,team,player_id,american_odds,bet_dollars,model_prob_pct,ev_pct,edge_pct,confidence,park_factor,pitcher_factor,platoon_factor,weather_factor,streak_factor,barrel_pct,exit_velo,hard_hit_pct,launch_angle,xslg,slg,iso,pull_pct,pitcher_hr9,pitcher_k_pct,lineup_spot,pick_id,opponent,pitcher,sportsbook,best_odds,market_prob_pct,engine_version,logged_at,open_implied_pct,open_no_vig_pct,close_odds,close_no_vig_pct,clv_pp,clv_pct_rel,hr_result,profit_loss
2026-05-13,Engine,Qualified Picks,Liam Hicks,MIA,689414,600,7.42,16.83,17.81,3.54,47.9,0.9700,1.2860,1.0000,0.9710,0.9850,5.60,88.1,0.00,0.0,0.4560,0.0000,0.0000,42.20,1.850,0.0000,None,,,,,,,,,14.286,13.179,,,,,0,-7.42
2026-05-13,Engine,Qualified Picks,Oswald Peraza,LAA,672724,1000,6.43,11.43,25.73,2.55,43.2,0.9910,0.8730,1.4670,0.9770,0.9900,5.90,86.6,0.00,0.0,0.4140,0.0000,0.0000,38.30,0.770,0.0000,None,,,,,,,,,9.091,8.312,,,,,0,-6.43
2026-05-13,Engine,Qualified Picks,Braden Shewmake,HOU,669699,600,6.63,16.56,15.92,3.27,35.3,1.0500,1.1440,1.0600,1.0240,1.0000,6.90,89.4,0.00,0.0,0.4500,0.0000,0.0000,0.00,1.690,0.0000,None,,,,,,,,,14.286,13.179,,,,,0,-6.63
2026-05-13,Engine,All Players,Adley Rutschman,BAL,668939,650,10.00,11.33,-15.03,-2.62,40.2,1.0620,0.6700,1.2760,1.0400,0.9530,7.40,89.1,0.00,0.0,0.4620,0.0000,0.0000,38.10,0.150,0.0000,None,,,,,,,,,13.333,12.300,,,,,1,65.00
2026-05-13,Engine,All Players,Blaze Alexander,BAL,677942,700,10.00,2.23,-82.16,-9.40,37.1,1.0620,0.6700,1.0600,1.0400,1.0000,1.00,92.2,0.00,0.0,0.3510,0.0000,0.0000,28.80,0.150,0.0000,None,,,,,,,,,12.500,11.531,,,,,0,-10.00
2026-05-13,Engine,All Players,Coby Mayo,BAL,691723,500,10.00,11.34,-31.96,-4.16,35.1,1.0760,0.6700,1.5000,1.0400,0.9970,4.30,90.0,0.00,0.0,0.3310,0.0000,0.0000,46.40,0.150,0.0000,None,,,,,,,,,16.667,15.375,,,,,0,-10.00
2026-05-13,Engine,All Players,Colton Cowser,BAL,681297,,10.00,2.66,0.00,0.00,0.0,1.0500,0.6700,0.9600,1.0400,1.0000,4.60,86.1,0.00,0.0,0.2900,0.0000,0.0000,0.00,0.150,0.0000,None,,,,,,,,,,,,,,,void,0.00
2026-05-13,Engine,All Players,Dylan Beavers,BAL,687637,,10.00,3.66,0.00,0.00,0.0,1.0480,0.6700,0.9600,1.0400,0.8900,3.40,87.4,0.00,0.0,0.3650,0.0000,0.0000,39.00,0.150,0.0000,None,,,,,,,,,,,,,,,void,0.00
2026-05-13,Engine,All Players,Gunnar Henderson,BAL,683002,540,10.00,7.51,-51.94,-7.51,56.4,1.0520,0.6700,1.1470,1.0400,0.8900,5.70,89.8,0.00,0.0,0.3690,0.0000,0.0000,48.00,0.150,0.0000,None,,,,,,,,,15.625,14.414,,,,,0,-10.00
2026-05-13,Engine,All Players,Jeremiah Jackson,BAL,669236,,10.00,5.32,0.00,0.00,0.0,1.0690,0.6700,0.8530,1.0400,0.8900,5.20,87.9,0.00,0.0,0.3740,0.0000,0.0000,42.60,0.150,0.0000,None,,,,,,,,,,,,,,,void,0.00
2026-05-13,Engine,All Players,Leody Taveras,BAL,665750,800,10.00,3.18,-71.38,-7.80,44.7,1.0610,0.6700,0.7000,1.0400,0.8900,3.50,87.2,0.00,0.0,0.3920,0.0000,0.0000,32.00,0.150,0.0000,None,,,,,,,,,11.111,10.159,,,,,0,-10.00
2026-05-13,Engine,All Players,Pete Alonso,BAL,624413,460,10.00,10.18,-42.99,-8.46,59.0,1.0730,0.6700,0.9770,1.0400,1.0090,8.20,94.3,0.00,0.0,0.4680,0.0000,0.0000,36.20,0.150,0.0000,None,,,,,,,,,17.857,16.473,,,,,0,-10.00
2026-05-13,Engine,All Players,Samuel Basallo,BAL,694212,,10.00,6.13,0.00,0.00,0.0,1.0490,0.6700,0.9600,1.0400,0.8900,6.90,93.0,0.00,0.0,0.4600,0.0000,0.0000,37.90,0.150,0.0000,None,,,,,,,,,,,,,,,void,0.00
2026-05-13,Engine,All Players,Taylor Ward,BAL,621493,650,10.00,2.53,-81.03,-11.42,54.3,1.0700,0.6700,1.5000,1.0400,0.8900,3.10,88.4,0.00,0.0,0.3820,0.0000,0.0000,32.20,0.150,0.0000,None,,,,,,,,,13.333,12.300,,,,,0,-10.00
