player_name,team,opponent,pitcher,model_prob_pct,american_odds,bookmaker
Aaron Judge,NYY,KC,Noah Cameron,32.4%,?,
Giancarlo Stanton,NYY,KC,Noah Cameron,29.6%,?,
James Wood,WSH,SF,Adrian Houser,28.8%,?,
Byron Buxton,MIN,CIN,Andrew Abbott,22.9%,?,
Wilyer Abreu,BOS,DET,Tarik Skubal,21.9%,?,
Vinnie Pasquantino,KC,NYY,Will Warren,21.4%,?,
Luis García Jr.,WSH,SF,Adrian Houser,21.3%,?,
Nasim Nuñez,WSH,SF,Adrian Houser,20.8%,?,
Trevor Story,BOS,DET,Tarik Skubal,20.5%,?,
Jazz Chisholm Jr.,NYY,KC,Noah Cameron,20.2%,?,
CJ Abrams,WSH,SF,Adrian Houser,20.1%,?,
Michael Busch,CHC,NYM,Freddy Peralta,20.0%,?,
Willson Contreras,BOS,DET,Tarik Skubal,19.9%,?,
Cody Bellinger,NYY,KC,Noah Cameron,19.1%,?,
Ben Rice,NYY,KC,Noah Cameron,19.1%,?,
Eugenio Suárez,CIN,MIN,Taj Bradley,18.9%,?,
Andruw Monasterio,BOS,DET,Tarik Skubal,18.6%,?,
Amed Rosario,NYY,KC,Noah Cameron,17.7%,?,
Daylen Lile,WSH,SF,Adrian Houser,17.1%,?,
Carter Jensen,KC,NYY,Will Warren,16.7%,?,
Roman Anthony,BOS,DET,Tarik Skubal,16.4%,?,
Jorbit Vivas,WSH,SF,Adrian Houser,15.9%,?,
Bobby Witt Jr.,KC,NYY,Will Warren,15.7%,?,
Jac Caglianone,KC,NYY,Will Warren,15.6%,?,
Josh Bell,MIN,CIN,Andrew Abbott,15.5%,?,
Seiya Suzuki,CHC,NYM,Freddy Peralta,15.0%,?,
Will Benson,CIN,MIN,Taj Bradley,14.9%,?,
Ceddanne Rafaela,BOS,DET,Tarik Skubal,14.8%,?,
Randal Grichuk,NYY,KC,Noah Cameron,14.5%,?,
Agustín Ramírez,MIA,MIL,Brandon Woodruff,14.4%,?,
