date,player_name,team,sportsbook,model_prob_pct,barrel_pct,ev_pct,edge_pct,opening_american,opening_implied_pct,opening_no_vig_pct,closing_american,closing_implied_pct,closing_no_vig_pct,clv_pp,clv_pct_rel,beats_close,notes,logged_at
2026-04-18,Liam Hicks,MIA,,20.36,,,,900,10.00,,,,,,,,,
2026-04-18,Carter Jensen,KC,,23.22,,,,750,11.76,,,,,,,,,
2026-04-18,CJ Abrams,WSH,,29.15,,,,500,16.67,,,,,,,,,
2026-04-18,Jacob Young,WSH,,16.42,,,,1000,9.09,,,,,,,,,
2026-04-18,Brice Turang,MIL,,17.43,,,,900,10.00,,,,,,,,,
2026-04-18,Mickey Moniak,COL,,29.05,,,,460,17.86,,,,,,,,,
2026-04-18,Andruw Monasterio,BOS,,15.03,,,,1000,9.09,,,,,,,,,
2026-04-18,Wenceel Pérez,DET,,15.93,,,,900,10.00,,,,,,,,,
2026-04-18,TJ Rumfield,COL,,14.51,,,,1000,9.09,,,,,,,,,
2026-04-18,Troy Johnston,COL,,14.33,,,,1000,9.09,,,,,,,,,
2026-04-18,Aaron Judge,NYY,,30.25,,,,390,20.41,,,,,,,,,
2026-04-18,Gary Sánchez,MIL,,25.26,,,,500,16.67,,,,,,,,,
2026-04-18,Wilyer Abreu,BOS,,14.62,,,,950,9.52,,,,,,,,,
2026-04-18,Maikel Garcia,KC,,11.99,,,,1150,8.00,,,,,,,,,
2026-04-18,Jake Bauers,MIL,,24.17,,,,500,16.67,,,,,,,,,
2026-04-18,Vinnie Pasquantino,KC,,14.13,,,,900,10.00,,,,,,,,,
2026-04-18,James Wood,WSH,,25.92,,,,400,20.00,,,,,,,,,
2026-04-18,Willson Contreras,BOS,,16.72,,,,650,13.33,,,,,,,,,
2026-04-18,Kerry Carpenter,DET,,15.63,,,,700,12.50,,,,,,,,,
2026-04-18,Edouard Julien,COL,,13.76,,,,800,11.11,,,,,,,,,
2026-04-18,Casey Schmitt,SF,,17.31,,,,600,14.29,,,,,,,,,
2026-04-18,Hunter Goodman,COL,,22.50,,,,400,20.00,,,,,,,,,
2026-04-24,Elly De La Cruz,CIN,,26.95,,,,400,20.00,,,,,,,,,
2026-04-24,Jeremiah Jackson,BAL,,16.51,,,,900,10.00,,,,,,,,,
2026-04-24,Spencer Steer,CIN,,22.20,,,,525,16.00,,,,,,,,,
2026-04-24,Jordan Walker,STL,,19.25,,,,600,14.29,,,,,,,,,
2026-04-24,Dominic Smith,ATL,,16.44,,,,750,11.76,,,,,,,,,
2026-04-24,Sal Stewart,CIN,,27.85,,,,350,22.22,,,,,,,,,
2026-04-24,Michael Harris II,ATL,,22.12,,,,450,18.18,,,,,,,,,
2026-04-24,Ke'Bryan Hayes,CIN,,12.54,,,,900,10.00,,,,,,,,,
2026-04-24,Leody Taveras,BAL,,12.48,,,,800,11.11,,,,,,,,,
2026-04-24,Brandon Marsh,PHI,,13.81,,,,700,12.50,,,,,,,,,
2026-04-24,Dane Myers,CIN,,17.73,,,,525,16.00,,,,,,,,,
2026-05-17,Drake Baldwin,ATL,,23.87,12.00,30.87,8.29,500,16.667,15.375,,,,,,,,2026-05-17T14:20:49Z
