bet_id,placed_date,placed_datetime,bet_type,parlay_odds,n_legs,all_hit,stake,returned,net
us-oh:01kveqwcweem19tan7d0mfv3pn,2026-06-18,2026-06-18 21:28,Same Game Parlay™,+8512,3,False,1.0,0.0,-1.0
us-oh:01kveqse5qen38p9fn83zbkd0j,2026-06-18,2026-06-18 21:26,Same Game Parlay™,+15266,4,False,1.0,0.0,-1.0
us-oh:01kve3ba7cfhmbzcn4xphzksex,2026-06-18,2026-06-18 15:29,4 leg Same Game Parlay+,+28803,4,False,1.0,0.0,-1.0
us-oh:01kvdsmz7ke09r5d7kh95f1598,2026-06-18,2026-06-18 12:39,3 leg Same Game Parlay+,+12302,3,False,1.0,0.0,-1.0
us-oh:01kvefypzzevhbaf7evb34t96x,2026-06-18,2026-06-18 19:09,3 leg Same Game Parlay+,+7885,3,False,10.0,0.0,-10.0
us-oh:01kve6m1rvehjsx2dppnrjjvjy,2026-06-18,2026-06-18 16:26,3 leg parlay,+8542,3,False,1.0,0.0,-1.0
us-oh:01kve37b62fpx8y1qcfds9dkar,2026-06-18,2026-06-18 15:27,4 leg Same Game Parlay+,+12912,4,False,1.0,0.0,-1.0
us-oh:01kve6yf7pf8kastw15tg86vhn,2026-06-18,2026-06-18 16:32,4 leg Same Game Parlay+,+24998,4,False,1.0,0.0,-1.0
us-oh:01kvdsb8jse3tabe4jwg9vwmsq,2026-06-18,2026-06-18 12:34,4 leg parlay,+30878,4,False,5.0,0.0,-5.0
us-oh:01kvdtr87jf0ks4kgvg059hqs7,2026-06-18,2026-06-18 12:59,4 leg Same Game Parlay+,+28102,4,False,1.0,0.0,-1.0
us-oh:01kvdsg4pce2e9307rdde00a9c,2026-06-18,2026-06-18 12:37,4 leg parlay,+24817,4,False,1.0,0.0,-1.0
us-oh:01kvdsefdjfkx8vq5xpary2thy,2026-06-18,2026-06-18 12:36,4 leg parlay,+43703,4,False,1.0,0.0,-1.0
us-oh:01kvdsnv2he8dvatek91rt87zd,2026-06-18,2026-06-18 12:40,3 leg parlay,+11738,3,False,10.0,0.0,-10.0
O/2072111/0001906,2026-06-18,2026-06-18 11:58,4 leg parlay,+79132,4,False,10.0,0.0,-10.0
us-oh:01kvbrgn0ke5fs9794y2jmbnss,2026-06-17,2026-06-17 17:41,3 leg Same Game Parlay+,+9316,3,False,1.0,0.0,-1.0
us-oh:01kvbr55vyfagvwen5a5jjnhgt,2026-06-17,2026-06-17 17:35,4 leg parlay,+25950,4,False,1.0,0.0,-1.0
us-oh:01kvbr0rcgfqtt39xvra8rkvpv,2026-06-17,2026-06-17 17:32,3 leg parlay,+10464,3,False,10.0,0.0,-10.0
us-oh:01kvbrckk2fvzva6jmzdzvgwx4,2026-06-17,2026-06-17 17:39,3 leg parlay,+10274,3,False,1.0,0.0,-1.0
O/2072111/0001905,2026-06-17,2026-06-17 09:30,4 leg parlay,+31679,4,False,10.0,0.0,-10.0
us-oh:01kvb7mgszf7p85vbv76nwn50c,2026-06-17,2026-06-17 12:46,4 leg parlay,+31540,4,False,5.0,0.0,-5.0
us-oh:01kvb75cnae0qvvnrgethc58g5,2026-06-17,2026-06-17 12:38,4 leg parlay,+21958,4,False,5.0,0.0,-5.0
us-oh:01kvb72jsyej6b7qx76qhwndq4,2026-06-17,2026-06-17 12:36,4 leg parlay,+26836,4,False,5.0,0.0,-5.0
us-oh:01kvb961vmevys1hz29anxar26,2026-06-17,2026-06-17 13:13,3 leg parlay,+14894,3,False,1.0,0.0,-1.0
us-oh:01kvb9k2scf77a6v9ckp1dh1gx,2026-06-17,2026-06-17 13:20,4 leg parlay,+72593,4,False,1.0,0.0,-1.0
